1;22072; @user So ein Hurensohn, ohne Witz.;1;hasoc2020
2;22211; @user DIESER FUCKING REZO IS NE SCHEIß LINKE ZECKE! NIEDER MIT DEM GRÜNEN UND ROTEN PACK!;1;hasoc2020
3;22270;Man kann Männern auch mal lassen, was Männern ist und  Frauen lassen, was Frauen ist. Das ändert nichts daran, dass wir alle MENSCHEN sind. Und wenn das Mädl Rosa will, gebt es ihr. Wenn der Bub Blaues will, gebt es ihm. Farben machen keine Menschen.!;0;hasoc2020
4;9786;Gerade eine Fertig-Lasagne gefressen. Stand 2,5 Portionen drauf. Nu bin ich fertig und HAB IMMER NOCH HUNGER!!!;0;germeval2019
5;9693;"Warum zum Teufel gibt es Weihnachtsklopapier, dass auch nach Weihnachten riecht?! 
Soll mein Arsch jetzt sagen: ooooooh! Mmmmh! Das riecht ja besser als ich?!“ 
WAS FÜR EINE SINNLOSE KACKSCHEISSE!!";1;germeval2019
6;9906; @user Sehr schön, auch sowas zu hören! Carpe diem!;0;germeval2019
7;1006; @user ich finde es gut wenn sich die Moslem selber abschlachten #WDR;1;germeval2018
8;971;Wenn Sie so machthungring sind und über Leichen gehen,gehen Sie nach Nordkorea.;1;germeval2018
9;9697;"Und deswegen werde ich entfolgt?! 
Wenn ihr hässlichen Wiesen-Hobbits geglaubt habt, ich rede hier über Tofu und grünen Tee, HAT MAN EUCH GEHÖRIG IN DIE SYNAPSEN GESCHISSEN!!! 
PROST!";1;germeval2019
10;23847;syrische #asylanten wollen in hungerstreik gehen, weil Klopapier gelegentlich fehlt? wer unzufrieden ist, sollte gehen! no #refugeeswelcome;0;hatespeech_refugees
11;9670;"Wer von euch degenerierten Wurstwasser-Fetischisten hat diesen verkackten Sommer in Hamburg vergessen???
Gebt das doch lieber Leuten, die sowas gewohnt sind!!
Die sehen hier alle aus wie Malle-Touristen!";1;germeval2019
12;23954;Es scheint als steigt die Zahl patriotischer Europäer, die keinen Bock auf #Islamisierung haben. Eigentlich alle, außer #Merkel-Deutschland.;0;hatespeech_refugees
13;22690; @user Nazis sind Nazis weil sie Nazis sind. Nicht dumm, blöd, krank, irre oder oder oder.Lasst das.;0;hasoc2020
14;9675;"Wenn die Leute mich fragen, was ich verdammt noch mal habe:
ICH HASSE EINFACH PAUSCHAL DIE GESAMTE MENSCHHEIT. 
ALLE!!!* 
*(außer die mit Körbchengrösse E aufwärts.)";1;germeval2019
15;9598; @user Mich interessiert die Meinung und „Haltung“ irgendeines unwichtigen Journalisten, der nur auf Grund seiner exponierten Stellung diese Reichweite hat, ÜBERHAUPT NICHT! Ich will OBJEKTIV informiert werden - meine Meinung bilde ich mir dann SELBST!;0;germeval2019
